AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,210,8.6,2.942,2.81,,,19.22,39970,2.1,15.79,16.74,18.35,21.75,23.02,32830,34810,38160,45230,47880,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,80,24.1,1.127,1.34,,,21.54,44800,2.7,15.81,18.13,22.67,22.94,27.56,32880,37710,47160,47710,57320,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,40,16.3,0.615,0.22,,,25.46,52950,3.9,16.04,18.25,22.42,31.45,37.77,33350,37960,46630,65410,78560,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-5112,Printing Press Operators,detailed,60,12.1,0.783,0.79,,,20.98,43630,4.3,13.29,17.62,20.03,23.27,29.39,27640,36660,41660,48410,61130,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-6011,Laundry and Dry-Cleaning Workers,detailed,70,4.6,0.985,0.81,,,15.19,31590,1.2,11.07,13.06,13.94,18.35,21.51,23030,27160,29000,38160,44740,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-7011,Cabinetmakers and Bench Carpenters,detailed,30,16.7,0.425,0.73,,,20.01,41620,3.3,15.52,16.91,18.3,23.07,26.78,32280,35180,38050,47990,55710,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,50,17.8,0.652,2.27,,,19.63,40820,5.7,12.61,16.23,18.19,22.54,29.59,26240,33760,37830,46880,61540,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,80,11.8,1.033,1.3,,,21.32,44340,2.9,11.24,18.1,19.55,27.34,28.94,23380,37650,40660,56860,60200,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-9011,Chemical Equipment Operators and Tenders,detailed,690,4.4,9.439,11.92,,,25.69,53440,0.8,23.22,23.3,23.3,28.67,28.67,48290,48460,48460,59620,59620,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,70,6,0.892,2.57,,,21.38,44460,0.9,16.76,19.45,22.69,23.28,25.28,34850,40450,47190,48420,52590,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,870,3.5,11.875,3.08,,,26.24,54570,1.2,17.19,19.56,22.75,30.71,36.39,35750,40690,47310,63870,75700,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-9111,Packaging and Filling Machine Operators and Tenders,detailed,470,6.2,6.423,2.62,,,22.05,45850,1,17.47,18.86,19.27,23.24,27.96,36330,39230,40080,48340,58150,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-9161,Computer Numerically Controlled Tool Operators,detailed,100,22.3,1.382,1.12,,,25.29,52600,2.8,19.1,23.56,23.99,28.02,28.02,39720,49000,49890,58280,58280,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-9162,Computer Numerically Controlled Tool Programmers,detailed,30,22.8,0.426,2.31,,,33.14,68920,2.3,20.5,22.32,33.17,45.01,47.21,42640,46430,68990,93630,98200,,
